1,6.5,5.0,6.5,5.0,6.5,5.0,0,RMSE,0.4817486835576652
2,7.5,6.3,7.5,6.3,7.5,6.3,0,MAE,0.3799298616943695
3,8.2,7.0,8.2,7.0,8.2,7.0,0,RMSE_Dirty,3.1479093591355736
4,7.0,14.0,9.0,8.5,9.0,8.5,1,MAE_Dirty,2.7866666666666666
5,8.8,15.0,9.8,8.7,9.8,8.7,1
6,9.5,14.5,10.4,9.6,10.4,9.6,1
7,10.0,14.4,10.683340361454466,10.471047403113605,11.0,10.8,0
8,11.0,14.4,11.53857023486242,11.321724675703662,11.8,11.5,0
9,12.5,14.5,12.922933365345111,12.079941122214372,13.0,11.5,0
10,13.0,14.0,13.332532854639734,12.097000281608201,13.8,11.5,0
11,14.9,13.0,15.16157460610557,11.50289578219715,14.6,11.0,0
12,16.0,12.5,16.205831191373072,11.321853837036171,15.2,10.5,0
13,16.5,11.0,16.5,10.0,16.5,10.0,1
14,17.5,9.0,17.5,9.0,17.5,9.0,0
15,19.0,6.0,19.0,6.0,19.0,6.0,0
