1,6.5,5.0,6.5,5.0,6.5,5.0,0,RMSE,0.6438386703383028
2,7.5,6.3,7.5,6.3,7.5,6.3,0,MAE,0.5937059329669381
3,8.2,7.0,8.2,7.0,8.2,7.0,0,RMSE_Dirty,3.1479093591355736
4,7.0,14.0,9.0,8.5,9.0,8.5,1,MAE_Dirty,2.7866666666666666
5,8.8,15.0,9.8,8.7,9.8,8.7,1
6,9.5,14.5,10.4,9.6,10.4,9.6,1
7,10.0,14.4,10.511166383255224,10.037335255881317,11.0,10.8,0
8,11.0,14.4,11.293414628627136,10.512590131680142,11.8,11.5,0
9,12.5,14.5,12.669172688719193,11.033720248480494,13.0,11.5,0
10,13.0,14.0,13.078625817048321,10.90745984378462,13.8,11.5,0
11,14.9,13.0,14.94461600160136,10.239564232348506,14.6,11.0,0
12,16.0,12.5,16.02533462158072,10.034988441880246,15.2,10.5,0
13,16.5,11.0,16.5,10.0,16.5,10.0,1
14,17.5,9.0,17.5,8.12027212498618,17.5,9.0,0
15,19.0,6.0,19.0,5.226051831986632,19.0,6.0,0
